,Case ID,K means cluster
519,ECLI-NL-GHAMS-2021-2176,65
520,ECLI-NL-RBLIM-2021-5458,Selling
521,ECLI-NL-RBOVE-2021-2603,42
522,ECLI-NL-RBOVE-2021-2607,42
523,ECLI-NL-RBOVE-2021-2606,42
524,ECLI-NL-RBAMS-2020-6043,42
525,ECLI-NL-RBNNE-2020-3934,3
526,ECLI-NL-GHAMS-2020-3840,27
527,ECLI-NL-RBDHA-2019-14032,20
528,ECLI-NL-RBAMS-2019-5551,Selling
529,ECLI-NL-RBAMS-2017-9583,Possession
530,ECLI-NL-RBAMS-2017-7576,5
531,ECLI-NL-RBZWB-2017-3847,Possession
532,ECLI-NL-RBZWB-2017-3871,Selling
533,ECLI-NL-RBAMS-2017-3256,Selling
534,ECLI-NL-RBNNE-2014-6502,Possession
535,ECLI-NL-RBNHO-2014-7947,13
536,ECLI-NL-RBGEL-2014-494,27
537,ECLI-NL-RBGEL-2014-496,27
538,ECLI-NL-RBGEL-2014-493,27
539,ECLI-NL-CRVB-2013-BZ5597,Selling
540,ECLI-NL-RBROT-2012-BY6936,Selling
541,ECLI-NL-GHAMS-2011-BS7825,42
542,ECLI-NL-GHAMS-2011-BR4724,Money laundering
543,ECLI-NL-RBGRO-2010-BN8743,56
544,ECLI-NL-GHSHE-2009-BH0704,Production
545,ECLI-NL-RBGEL-2021-2126,49
546,ECLI-NL-RBROT-2020-11148,42
547,ECLI-NL-RBGEL-2019-4464,Possession
548,ECLI-NL-RBNNE-2017-2999,42
549,ECLI-NL-RBMNE-2015-1141,Possession
550,ECLI-NL-RBROE-2009-BJ1209,5
551,ECLI-NL-RBHAA-2007-BC4726,Transport
552,ECLI-NL-RBOBR-2014-7537,50
553,ECLI-NL-RBHAA-2008-BC9447,Transport
554,ECLI-NL-GHAMS-2021-3602,16
555,ECLI-NL-GHAMS-2021-2175,65
556,ECLI-NL-RBOBR-2021-1707,Production
557,ECLI-NL-GHARL-2021-864,42
558,ECLI-NL-RBROT-2020-7079,3
559,ECLI-NL-CRVB-2019-3966,2
